Fartøy/Måned;Januar;Februar;Mars;April;Mai;Juni;Juli;August;September;Oktober;November;Desember;Spesielle behov/krav
Fartøy 1 ;N/A;N/A;N/A;0;0;4,2;8,68;8,99;0;0;2,1;0,31;
Fartøy 2;N/A;N/A;N/A;21,3;16,12;0;0;0;0;10,54;10,8;23,87;
Fartøy 3;N/A;N/A;N/A;0;0;0;0;1,55;5,7;0;0;0;
Fartøy 4;N/A;N/A;N/A;2,4;0;0;12,09;23,56;0;0;6,9;0;
Fartøy 5;N/A;N/A;N/A;0;0;0;0;0;0,6;9,92;25,2;1,24;
Fartøy 6;N/A;N/A;N/A;0;0;0;0;0;0;0;0;0;
Fartøy 7;N/A;N/A;N/A;0;0;0;0;0;0;0;0;30,38;
Fartøy 8;N/A;N/A;N/A;30;8,68;0;0;0;0;0;0;0;
Fartøy 9;N/A;N/A;N/A;0,6;25,73;0;0;0;0;0;0;0;
Fartøy 10;N/A;N/A;N/A;18,6;0;0;1,86;0;1,2;0,62;0;0;
Fartøy 11;N/A;N/A;N/A;0,3;4,65;0;0;2,69;0;0;0;0;
Fartøy 12;N/A;N/A;N/A;0;0;0;0;0;0;0;0;0;
Fartøy 13;N/A;N/A;N/A;0;0;0;0;0;0;0;0;0;
Fartøy 14 ;N/A;N/A;N/A;0;0;0;0;0;0;0;0;0;
Fartøy 15;N/A;N/A;N/A;0;0;0;0;0;0;0;0;0;
Fartøy 16;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;Fartøy 16 lagt i opplag